AREA_ACRES,AREA_SQKM,STATES,HUC_4,HU_4_NAME,VERTICES,Shape_Length,Shape_Area
7694025.612,31132.85108,"CO,KS,NM,OK",1104,Upper Cimarron,323,12.78243445,3.161527895
12742940.6,51575.86508,"CO,KS,NE",1026,Smoky Hill,389,15.23768364,5.370282273
15464329.36,62576.59097,"CO,NE,WY",1019,South Platte,476,17.73302264,6.6295406
7983488.475,32310.43356,"CO,NM,TX",1108,Upper Canadian,251,9.925220445,3.226194389
8473627.979,34303.39082,"CO,UT,WY",1405,White-Yampa,322,11.71629111,3.642222145
19897715.46,80542.10119,"CO,NE,WY",1018,North Platte,714,26.64211237,8.739823799
13142876.25,53197.33547,"CO,KS",1103,Middel Arkansas,416,16.30239442,5.458482043
9316019.691,37720.55378,"CO,UT",1406,Lower Green,279,11.48600124,3.961522524
6296327.583,25484.59784,"CO,UT",1401,Colorado Headwaters,324,11.58415694,2.672073843
5352949.141,21633.69634,"CO,UT",1403,Upper Colorado-Dolores,253,9.10935791,2.229752367
13283888.99,53756.33422,"CO,UT,WY",1404,Great Divide-Upper Green,455,16.41522922,5.827651198
15954894.82,64583.05202,"AZ,CO,NM,UT",1408,San Juan,442,15.91000254,6.521985623
4871763.532,19713.74526,"CO,NM",1301,Rio Grande Headwaters,214,8.412751124,2.011803055
15943239.31,64511.37607,"CO,KS,NE",1025,Republican,554,19.51667809,6.806057996
15952488.04,64523.62738,"CO,KS,NM",1102,Upper Arkansas,372,15.03965654,6.636103334
17354486.38,70232.33824,"CO,NM",1302,Rio Grande-Elephant Butte,454,17.94191145,6.945884175
5137398.132,20791.5527,CO,1402,Gunnison,213,8.11013634,2.149075543
