AREA_ACRES,AREA_SQKM,STATES,HUC_6,HU_6_NAME,VERTICES,Shape_Length,Shape_Area
6296327.583,25484.59784,"CO,UT",140100,Colorado Headwaters,324,11.58415694,2.672073843
9287819.075,37593.90029,"AZ,CO,NM",140801,Upper San Juan,294,10.49614029,3.790889492
13142876.25,53199.61592,"CO,KS",110300,Middle Arkansas,417,16.30711332,5.458716124
4103862.461,16617.21525,"CO,NM",130201,Upper Rio Grande,178,7.058111909,1.670677388
15943239.31,64513.43514,"CO,KS,NE",102500,Republican,553,19.51431692,6.806275357
7983488.475,32314.16401,"CO,NM,TX",110800,Upper Canadian,249,9.917984548,3.226564781
15464329.36,62576.59097,"CO,NE,WY",101900,South Platte,476,17.73302264,6.6295406
9316019.691,37720.55378,"CO,UT",140600,Lower Green,279,11.48600124,3.961522524
5352949.141,21633.69173,"CO,UT",140300,Upper Colorado-Dolores,253,9.109029145,2.229751894
4871763.532,19714.43146,"CO,NM",130100,Rio Grande Headwaters,212,8.409990326,2.011873372
10825798.71,43823.74592,"CO,UT,WY",140401,Upper Green,387,13.45639584,4.749113868
7694025.612,31133.07142,"CO,KS,NM,OK",110400,Upper Cimarron,323,12.78292412,3.161550216
5137398.132,20791.5527,CO,140200,Gunnison,213,8.11013634,2.149075543
6667056.768,26989.09529,"AZ,CO,NM,UT",140802,Lower San Juan,294,10.52611701,2.731088689
19897715.46,80542.10119,"CO,NE,WY",101800,North Platte,714,26.64211237,8.739823799
12742940.6,51575.86508,"CO,KS,NE",102600,Smoky Hill,389,15.23768364,5.370282273
15952488.04,64523.62738,"CO,KS,NM",110200,Upper Arkansas,372,15.03965654,6.636103334
8473627.979,34303.39082,"CO,UT,WY",140500,White-Yampa,322,11.71629111,3.642222145
